Time,Battery,CPU,RAM,Brightness,Charging,Estimated_Seconds_Left,Chrome,VSCode,WhatsApp,OneNote,WPS,Active_App_Count,workload,data_source
2026-09-20 09:54:29,28,13.6,61.3,23,False,5938,1,1,0,0,1,3,Coding,real
2026-09-20 09:56:38,28,15.3,59.7,43,False,5367,1,1,0,0,1,3,Light,real
2026-09-20 09:57:13,28,13.1,59.7,23,False,7362,1,1,0,0,1,3,Light,real
2026-09-20 09:57:47,28,2.7,59.7,23,False,6993,1,1,0,0,1,3,Light,real
2026-09-20 09:58:21,27,7.5,59.4,23,False,6449,1,1,0,0,1,3,Light,real
2026-09-20 09:58:55,27,12.3,59.8,23,False,7423,1,1,0,0,1,3,Light,real
2026-09-20 09:59:29,27,22.9,61.7,23,False,5128,1,1,0,0,1,3,Light,real
2026-09-20 10:00:04,27,16.2,62.0,23,False,5203,1,1,0,0,1,3,Light,real
2026-09-20 10:00:38,27,21.8,62.1,23,False,6207,1,1,0,0,1,3,Light,real
2026-09-20 10:01:12,27,5.7,62.4,23,False,6816,1,1,0,0,1,3,Light,real
2026-09-20 10:01:46,26,3.6,63.3,23,False,6544,1,1,0,0,1,3,Light,real
2026-09-20 10:02:20,26,3.5,62.1,23,False,9438,1,1,0,0,1,3,Light,real
2026-09-20 10:02:54,26,3.7,62.5,23,False,6943,1,1,0,0,1,3,Light,real
2026-09-20 10:03:28,26,4.4,62.9,23,False,7693,1,1,0,0,1,3,Light,real
2026-09-20 10:04:02,26,2.9,64.0,23,False,5275,1,1,0,0,1,3,Light,real
2026-09-20 10:04:36,26,4.3,63.5,23,False,6931,1,1,0,0,1,3,Light,real
2026-09-20 10:05:10,26,6.2,62.2,23,False,7441,1,1,0,0,1,3,Light,real
2026-09-20 10:05:44,26,6.6,62.4,23,False,7167,1,1,0,0,1,3,Light,real
2026-09-20 10:06:18,25,1.7,61.8,23,False,9597,1,1,0,0,1,3,Light,real
2026-09-20 10:06:52,25,10.1,62.1,23,False,7196,1,1,0,0,1,3,Light,real
2026-09-20 10:07:27,25,4.5,61.9,23,False,5668,1,1,0,0,1,3,Light,real
2026-09-20 10:08:01,25,2.5,61.2,23,False,10694,1,1,0,0,1,3,Light,real
2026-09-20 10:08:35,25,5.1,61.2,23,False,7682,1,1,0,0,1,3,Light,real
2026-09-20 10:09:09,25,3.3,61.3,23,False,7914,1,1,0,0,1,3,Light,real
2026-09-20 10:09:43,25,8.0,61.9,23,False,5777,1,1,0,0,1,3,Light,real
2026-09-20 10:10:17,25,10.3,61.8,23,False,6825,1,1,0,0,1,3,Light,real
2026-09-20 10:11:56,24,9.2,60.8,23,False,5507,1,1,0,0,1,3,Coding,real
2026-09-20 10:12:30,24,16.1,60.7,23,False,4708,1,1,0,0,1,3,Coding,real
2026-09-20 10:13:04,24,10.5,61.0,23,False,3756,1,1,0,0,1,3,Coding,real
2026-09-20 10:13:38,24,11.0,61.2,23,False,5824,1,1,0,0,1,3,Coding,real
2026-09-20 10:14:12,24,10.2,60.9,23,False,5197,1,1,0,0,1,3,Coding,real
2026-09-20 10:14:47,23,10.1,61.7,23,False,4891,1,1,0,0,1,3,Coding,real
2026-09-20 10:15:21,23,15.1,61.5,23,False,4667,1,1,0,0,1,3,Coding,real
2026-09-20 10:15:55,23,5.5,61.0,23,False,8899,1,1,0,0,1,3,Coding,real
2026-09-20 10:16:29,23,2.4,61.0,23,False,6933,1,1,0,0,1,3,Coding,real
2026-09-20 10:17:03,23,8.4,62.2,23,False,4535,1,1,0,0,1,3,Coding,real
2026-09-20 10:17:38,23,9.6,61.5,23,False,4159,1,1,0,0,1,3,Coding,real
2026-09-20 10:18:12,23,6.9,61.0,23,False,5259,1,1,0,0,1,3,Coding,real
2026-09-20 10:18:46,22,4.9,61.1,23,False,6586,1,1,0,0,1,3,Coding,real
2026-09-20 10:19:19,22,8.0,60.5,23,False,10777,1,1,0,0,1,3,Coding,real
2026-09-20 10:19:54,22,3.1,60.7,23,False,6265,1,1,0,0,1,3,Coding,real
2026-09-20 10:20:27,22,3.5,60.6,23,False,9424,1,1,0,0,1,3,Coding,real
2026-09-20 10:21:01,22,11.4,60.5,23,False,9606,1,1,0,0,1,3,Coding,real
2026-09-20 10:21:35,22,2.6,60.5,23,False,9325,1,1,0,0,1,3,Coding,real
2026-09-20 10:22:10,22,3.5,60.4,23,False,6142,1,1,0,0,1,3,Coding,real
2026-09-20 10:22:44,22,7.9,60.7,23,False,5677,1,1,0,0,1,3,Coding,real
2026-09-20 10:23:18,22,3.0,60.7,23,False,4373,1,1,0,0,1,3,Coding,real
2026-09-20 10:23:52,21,2.7,60.4,23,False,9109,1,1,0,0,1,3,Coding,real
2026-09-20 10:24:26,21,25.5,61.0,23,False,5571,1,1,0,0,1,3,Coding,real
2026-09-20 10:25:00,21,6.2,60.7,23,False,4550,1,1,0,0,1,3,Coding,real
2026-09-20 10:25:34,21,3.2,59.3,23,False,5097,1,1,0,0,1,3,Coding,real
2026-09-20 10:26:08,21,14.1,60.9,23,False,3454,1,1,0,0,1,3,Coding,real
2026-09-20 10:33:45,19,9.9,60.8,23,False,3850,1,1,0,0,1,3,Video,real
2026-09-20 10:34:19,19,9.9,64.2,23,False,3681,1,1,0,0,1,3,Video,real
2026-09-20 10:34:53,18,12.5,63.9,23,False,4661,1,1,0,0,1,3,Video,real
2026-09-20 10:35:28,18,6.1,64.2,23,False,5684,1,1,0,0,1,3,Video,real
2026-09-20 10:36:02,18,7.6,64.2,23,False,3243,1,1,0,0,1,3,Video,real
2026-09-20 10:36:36,18,8.4,63.5,23,False,4246,1,1,0,0,1,3,Video,real
2026-09-20 10:37:11,18,9.5,62.1,23,False,3869,1,1,0,0,1,3,Video,real
2026-09-20 10:37:45,18,10.9,62.1,23,False,4947,1,1,0,0,1,3,Video,real
2026-09-20 10:38:19,18,8.0,62.1,23,False,4621,1,1,0,0,1,3,Video,real
2026-09-20 10:38:54,17,11.2,62.4,23,False,4659,1,1,0,0,1,3,Video,real
2026-09-20 10:39:28,17,7.9,62.4,23,False,4534,1,1,0,0,1,3,Video,real
2026-09-20 10:40:03,17,6.1,62.5,23,False,4490,1,1,0,0,1,3,Video,real
2026-09-20 10:40:37,17,15.9,62.9,23,False,4328,1,1,0,0,1,3,Video,real
2026-09-20 10:41:11,17,15.6,63.8,23,False,4179,1,1,0,0,1,3,Video,real
2026-09-20 11:14:11,24,8.2,57.1,23,False,7046,1,1,1,0,1,4,Whatsapp,real
2026-09-20 11:14:50,24,2.4,58.0,23,False,6797,1,1,1,0,1,4,Whatsapp,real
2026-09-20 11:15:28,24,21.8,59.4,23,False,6449,1,1,1,0,1,4,Whatsapp,real
2026-09-20 11:16:44,24,2.2,58.0,23,False,5610,1,1,1,0,1,4,Whatsapp,real
2026-09-20 11:17:23,24,13.4,57.7,23,False,10794,1,1,1,0,1,4,Whatsapp,real
2026-09-20 11:18:01,24,2.6,57.7,23,False,9447,1,1,1,0,1,4,Whatsapp,real
2026-09-20 11:18:39,23,9.6,58.0,23,False,4768,1,1,1,0,1,4,Whatsapp,real
2026-09-20 11:19:17,23,15.2,57.8,23,False,6035,1,1,1,0,1,4,Whatsapp,real
2026-09-20 11:19:55,23,4.5,57.3,23,False,9592,1,1,1,0,1,4,Whatsapp,real
2026-09-20 11:20:33,23,18.5,57.3,23,False,6190,1,1,1,0,1,4,Whatsapp,real
SYN_001,22,8.661792699386078,60.14002384063926,23,False,-1,1,0,0,0,1,2,Browsing,synthetic
SYN_002,27,12.751411790978036,57.1,23,False,-1,1,0,1,0,1,3,Whatsapp,synthetic
SYN_003,25,5.244551232844205,61.09176060475093,23,False,-1,0,1,0,0,1,2,Coding,synthetic
SYN_004,26,10.957997106239278,61.72043410863963,23,False,-1,1,1,1,0,1,4,Mixed,synthetic
SYN_005,26,10.09849493715707,62.86668790314342,23,False,-1,1,0,0,0,1,2,Browsing,synthetic
SYN_006,24,13.218103017420082,58.601264013378064,23,False,-1,1,0,1,0,1,3,Whatsapp,synthetic
